KIDS,PERINSCQ,FDHOMECQ,UTILCQ
1.0,1413.9809,866.6667,100.0
1.0,1255.9167,953.3333,443.0
1.0,884.8142,1105.0,417.0
0.0,0.0,0.0,0.0
1.0,235.3334,650.0,458.0
0.0,159.4167,216.6667,250.0
1.0,14.6667,325.0,297.0
0.0,14.0833,121.3333,40.0
0.0,74.7167,244.3333,249.0
0.0,161.4833,325.0,487.0
0.0,0.0,0.0,0.0
1.0,1467.5,650.0,850.0
0.0,0.0,368.3333,57.0
0.0,0.0,0.0,122.0
1.0,884.8142,173.3333,406.0
1.0,1175.4809,715.0,261.0
1.0,263.1667,476.6667,423.0
1.0,923.6667,1603.3333,440.0
0.0,148.75,108.3333,150.0
0.0,0.0,260.0,160.0
1.0,82.9167,455.0,302.0
1.0,66.05,43.3333,330.0
1.0,958.75,866.6667,485.0
0.0,553.15,476.6667,138.0
1.0,721.2167,390.0,200.0
0.0,0.0,173.3333,382.0
0.0,0.0,86.6667,0.0
0.0,741.6667,476.6667,210.0
0.0,0.0,238.3333,270.0
1.0,432.5167,433.3333,410.0
0.0,197.9333,108.3333,394.0
0.0,879.75,3233.3333,265.0
0.0,278.9167,195.0,303.0
0.0,0.0,216.6667,163.0
0.0,165.75,381.3333,240.0
0.0,0.0,203.0,7.0
0.0,0.0,195.0,29.0
0.0,1317.3142,403.0,131.0
0.0,0.0,606.6667,25.0
0.0,541.9167,195.0,90.0
0.0,0.0,281.6667,724.0
1.0,308.7167,281.6667,455.0
1.0,459.0,823.3333,590.0
0.0,819.35,156.0,93.0
1.0,445.4667,606.6667,145.0
1.0,1840.8334,433.3333,321.0
1.0,868.15,628.3333,586.0
0.0,0.0,173.3333,375.0
0.0,1006.0,520.0,206.0
0.0,162.5833,585.0,90.0
0.0,1529.3975,833.3333,400.0
0.0,380.0,294.6667,230.0
0.0,0.0,541.6667,541.0
0.0,541.9167,585.0,380.0
0.0,56.8167,225.3333,35.0
1.0,0.0,433.3333,251.0
1.0,325.1667,216.6667,351.0
0.0,0.0,433.3333,194.0
0.0,223.1667,195.0,50.0
0.0,732.4167,325.0,170.0
1.0,640.9167,866.6667,683.0
1.0,165.75,650.0,494.0
0.0,1284.75,520.0,727.0
0.0,574.0,736.6667,166.0
0.0,547.1667,563.3333,235.0
0.0,10045.0131,511.3333,197.0
0.0,296.7167,563.3333,175.0
0.0,787.5834,583.3333,523.0
1.0,108.4167,346.6667,350.0
1.0,1551.4809,693.3333,570.0
0.0,657.7167,487.3333,422.0
1.0,0.0,346.6667,540.0
0.0,884.8142,260.0,90.0
0.0,847.9167,541.6667,414.0
0.0,159.4167,195.0,892.0
1.0,242.25,433.3333,711.0
1.0,650.3333,238.3333,295.0
0.0,0.0,346.6667,427.0
0.0,116.1833,173.3333,310.0
0.0,1391.3334,476.6667,489.0
0.0,351.7,195.0,78.0
0.0,0.0,65.0,155.0
0.0,933.5,346.6667,363.0
1.0,300.0,359.6667,687.0
1.0,164.8167,1083.3333,317.0
0.0,0.0,520.0,691.0
0.0,1272.7475,563.3333,430.0
0.0,899.4642,390.0,949.0
0.0,0.0,86.6667,250.0
0.0,0.0,21.6667,229.0
0.0,0.0,325.0,342.0
1.0,168.7833,650.0,620.0
1.0,1378.6666,563.3333,456.0
0.0,283.9166,736.6667,498.0
1.0,670.3333,433.3333,486.0
0.0,0.0,325.0,236.0
0.0,425.4167,563.3333,367.0
1.0,151.95,260.0,413.0
0.0,1464.2309,390.0,330.0
0.0,378.3167,736.6667,244.0
0.0,0.0,173.3333,167.0
1.0,807.65,563.6667,590.0
0.0,1039.9167,86.6667,85.0
0.0,1135.5,195.0,378.0
0.0,25.4167,69.3333,80.0
0.0,146.1,86.6667,105.0
1.0,278.4167,563.3333,250.0
0.0,248.6667,563.3333,588.0
0.0,76.5,1040.0,407.0
0.0,0.0,411.6667,20.0
1.0,1226.7309,581.0,712.0
0.0,220.5333,498.3333,123.3333
1.0,884.8142,1560.0,395.0
1.0,1832.9667,390.0,238.0
0.0,304.1667,173.3333,170.0
0.0,359.5333,303.3333,350.0
0.0,419.3667,650.0,340.0
0.0,0.0,498.3333,473.0
1.0,53.4,281.6667,213.0
1.0,524.0833,708.3333,464.0
0.0,0.0,216.6667,245.0
1.0,0.0,541.6667,355.0
1.0,739.5833,520.0,401.0
0.0,0.0,303.3333,250.0
1.0,745.0,1377.0,379.0
0.0,0.0,866.6667,386.0
0.0,497.3333,650.0,567.0
0.0,1305.6167,195.0,225.0
1.0,5231.9046,758.3333,505.0
0.0,1137.8975,788.6667,913.0
0.0,214.4167,433.3333,245.0
0.0,0.0,173.3333,274.0
1.0,271.5167,281.6667,211.0
0.0,72.3667,130.0,444.0
0.0,0.0,151.6667,189.0
0.0,454.9333,260.0,100.0
0.0,150.5833,238.3333,306.0
0.0,1031.15,585.0,399.0
1.0,191.25,866.6667,797.0
0.0,95.6667,173.3333,122.0
0.0,0.0,173.3333,275.0
0.0,0.0,216.6667,52.0
0.0,0.0,325.0,494.0
1.0,637.5,801.6667,420.0
1.0,434.5167,628.3333,1345.0
1.0,1237.0,1516.6667,420.0
0.0,63.75,325.0,275.0
0.0,446.25,325.0,388.0
0.0,122.4167,346.6667,84.0
0.0,463.4167,60.6667,175.3333
0.0,730.0,325.0,150.0
1.0,701.3333,411.6667,350.0
0.0,140.25,216.6667,219.0
0.0,223.1667,121.3333,338.0
0.0,505.2333,355.0,619.0
1.0,211.7167,216.6667,128.0
0.0,120.9167,130.0,393.0
1.0,0.0,433.3333,370.0
0.0,393.3334,390.0,484.6667
1.0,3070.3142,238.3333,235.0
1.0,1183.5642,801.6667,501.0
0.0,1169.6667,541.6667,787.0
0.0,1213.3333,238.3333,581.0
1.0,868.0,975.0,527.0
0.0,294.2167,151.6667,248.3333
1.0,406.6667,303.3333,230.0
0.0,0.0,260.0,268.0
1.0,1413.0833,1625.0,517.0
0.0,0.0,541.6667,200.0
1.0,223.1667,616.6667,154.0
0.0,2228.0834,130.0,258.0
0.0,0.0,390.0,501.0
0.0,382.5,1365.0,308.0
0.0,0.0,442.0,196.0
1.0,220.5833,563.3333,842.0
0.0,255.0833,416.6667,679.0
0.0,0.0,117.0,8.0
1.0,0.0,238.3333,330.3333
0.0,382.5,650.0,373.0
1.0,699.25,1343.3333,503.0
0.0,19.1667,606.6667,50.0
1.0,478.1667,996.6667,481.0
0.0,0.0,606.6667,587.0
1.0,3484.5,601.0,295.0
1.0,169.7167,433.3333,231.0
0.0,1406.1667,563.3333,765.0
1.0,267.75,650.0,560.0
1.0,824.2667,1300.0,536.0
0.0,884.8142,65.0,204.0
0.0,709.5834,433.3333,546.0
0.0,500.0,433.3333,283.0
1.0,617.15,520.0,365.0
0.0,612.9,801.6667,135.0
1.0,777.8333,801.6667,533.0
0.0,0.0,374.6667,589.0
0.0,81.0,95.3333,103.6667
0.0,816.0,390.0,585.0
0.0,669.4167,520.0,504.0
0.0,223.1667,303.3333,117.0
0.0,1058.25,433.3333,672.0
0.0,53.5833,403.0,250.0
1.0,4329.3021,325.0,258.0
1.0,911.85,866.6667,560.0
0.0,916.3333,801.6667,559.0
1.0,220.8833,1018.3333,320.0
0.0,63.75,392.0,309.0
1.0,427.65,758.3333,424.0
0.0,0.0,30.3333,277.0
1.0,255.0,671.6667,319.0
0.0,0.0,233.3333,117.0
1.0,2743.8143,433.3333,489.0
0.0,0.0,203.0,435.0
0.0,884.8142,585.0,348.0
0.0,0.0,251.3333,127.0
0.0,501.2667,606.6667,353.0
0.0,0.0,260.0,329.0
0.0,223.1667,541.6667,71.6667
1.0,1199.8334,866.6667,944.0
0.0,224.65,628.3333,169.6667
1.0,125.8833,411.6667,372.0
0.0,0.0,238.3333,361.0
0.0,3413.4809,325.0,284.0
0.0,918.75,676.6667,840.0
0.0,4304.1667,329.3333,452.0
0.0,0.0,303.3333,513.0
1.0,934.0975,736.6667,501.0
0.0,1523.3333,238.3333,305.0
0.0,0.0,173.3333,0.0
0.0,255.0,65.0,220.0
1.0,554.6667,1213.3333,583.0
0.0,0.0,268.6667,134.0
0.0,1045.5834,468.0,525.0
1.0,446.3333,216.6667,347.6667
0.0,260.75,346.6667,0.0
0.0,528.1,234.0,257.0
1.0,165.75,468.0,204.0
0.0,510.8,671.6667,330.0
0.0,352.8,455.0,389.0
1.0,554.6667,758.3333,815.0
1.0,412.4167,216.6667,455.0
1.0,1545.5,823.3333,430.0
0.0,0.0,52.0,185.3333
0.0,0.0,133.3333,151.0
0.0,256.1667,281.6667,466.0
1.0,204.0,303.3333,192.0
0.0,331.9167,173.3333,551.0
0.0,523.3667,433.3333,274.0
1.0,675.75,758.3333,275.0
0.0,0.0,151.6667,392.0
0.0,0.0,520.0,601.0
0.0,80.8167,780.0,346.0
0.0,3.8333,21.6667,0.0
0.0,4634.8976,550.3333,184.0
0.0,0.0,476.6667,351.0
0.0,344.25,346.6667,220.0
0.0,0.0,433.3333,339.0
0.0,701.1333,260.0,817.0
0.0,5521.2252,866.6667,691.0
1.0,226.6667,0.0,126.0
1.0,253.1667,238.3333,421.0
1.0,0.0,473.0,100.0
0.0,362.4833,433.3333,283.0
0.0,185.9167,216.6667,639.0
1.0,337.9167,1300.0,330.0
0.0,381.55,650.0,349.0
0.0,85.8333,173.3333,111.0
0.0,492.7333,650.0,330.0
0.0,22.9167,368.3333,517.0
1.0,380.0833,498.3333,216.0
1.0,388.0833,390.0,73.0
0.0,931.5,433.3333,487.0
1.0,1312.3142,1074.6667,680.0
1.0,0.0,390.0,194.0
1.0,102.0,650.0,498.0
0.0,614.0833,164.6667,130.0
0.0,130.1833,285.0,200.0
0.0,633.0,563.3333,516.0
0.0,768.6667,351.0,173.0
0.0,497.0,390.0,216.0
0.0,592.9167,433.3333,440.0
0.0,631.1667,876.6667,960.0
0.0,211.2833,368.3333,199.0
0.0,0.0,585.0,375.0
0.0,483.25,195.0,180.0
0.0,89.3333,325.0,225.0
1.0,1769.6284,390.0,1648.0
1.0,753.5333,823.3333,640.0
1.0,116.9167,303.3333,275.0
0.0,88.6833,650.0,556.0
1.0,102.0,303.3333,378.0
0.0,713.75,541.6667,336.0
0.0,0.0,151.6667,293.0
1.0,940.8333,346.6667,514.0
0.0,0.0,86.6667,455.0
0.0,2081.0667,292.0,169.0
1.0,2043.8333,151.6667,597.0
0.0,506.0333,455.0,314.0
1.0,1064.6667,800.0,471.0
0.0,0.0,244.3333,328.0
0.0,204.0,420.3333,344.0
0.0,255.0,693.3333,90.0
0.0,342.75,78.0,555.0
0.0,427.1667,758.3333,264.0
0.0,352.6667,0.0,430.0
0.0,0.0,225.3333,235.0
0.0,0.0,117.0,30.0
1.0,476.8,216.6667,397.0
1.0,119.3333,368.3333,470.0
0.0,1479.5,455.0,167.0
0.0,255.0,390.0,375.0
0.0,785.8334,1538.3333,145.0
0.0,884.8142,325.0,370.0
0.0,0.0,173.3333,120.0
0.0,469.4167,108.3333,140.0
0.0,0.0,151.6667,87.0
1.0,3408.8334,866.6667,390.0
0.0,132.0,281.6667,469.0
1.0,220.2833,216.6667,584.0
0.0,496.0,368.3333,287.0
1.0,400.5833,541.6667,195.0
0.0,4.25,303.3333,165.0
1.0,118.4667,650.0,259.0
0.0,0.0,195.0,51.6667
0.0,125.5,216.6667,211.0
0.0,0.0,195.0,296.0
0.0,77.8667,303.3333,240.0
0.0,827.35,411.6667,661.0
0.0,153.4333,78.0,289.0
0.0,191.25,65.0,224.0
1.0,342.85,888.3333,327.0
0.0,0.0,65.0,292.0
0.0,0.0,65.0,238.0
1.0,113.2167,374.6667,121.0
0.0,0.0,390.0,377.0
1.0,1673.9833,325.0,225.0
0.0,306.3333,563.3333,364.0
1.0,1458.5642,736.6667,693.0
1.0,293.8833,0.0,0.0
0.0,0.0,368.3333,279.0
0.0,159.4167,303.3333,222.0
0.0,745.1666,303.3333,613.0
0.0,0.0,433.3333,288.0
0.0,0.0,260.0,422.0
0.0,1014.8,650.0,560.0
1.0,13248.5418,1300.0,1015.0
0.0,446.3334,736.6667,780.0
0.0,0.0,112.6667,109.0
1.0,4448.9618,1300.0,1016.0
0.0,856.9,346.6667,300.0
1.0,1769.6284,1300.0,2041.0
1.0,318.8334,780.0,620.0
0.0,1170.8334,390.0,3360.0
1.0,563.8,866.6667,680.0
0.0,482.6666,0.0,441.6667
1.0,2576.595,1646.6667,1695.0
1.0,2522.8334,1950.0,740.0
0.0,3539.2568,3900.0,516.0
1.0,1488.7334,1386.6667,1508.0
1.0,535.5,1733.3333,1173.0
0.0,1211.3334,563.3333,1029.0
1.0,596.6666,866.6667,764.0
0.0,63.8334,433.3333,184.0
0.0,107.0,260.0,828.0
0.0,2368.0,390.0,175.0
0.0,315.7,563.3333,680.0
1.0,1198.1334,693.3333,500.0
0.0,320.8,1733.3333,700.0
0.0,0.0,433.3333,0.0
0.0,0.0,234.0,342.0
0.0,95.0,130.0,367.0
0.0,102.0,260.0,372.0
0.0,1466.3334,866.6667,634.0
0.0,459.2334,606.6667,530.0
1.0,1145.9334,1202.0,1187.0
0.0,701.3334,407.3333,165.0
0.0,1083.8334,476.6667,632.0
0.0,6824.4618,2340.0,1943.0
0.0,0.0,390.0,470.0
0.0,87.0,693.3333,774.0
0.0,1100.0,615.3333,855.0
0.0,229.5,563.3333,743.0
1.0,2029.2,1300.0,650.0
1.0,576.2334,1256.6667,581.0
0.0,1664.0,338.0,1448.0
1.0,586.5,996.6667,405.0
1.0,751.6334,1213.3333,1508.0
0.0,1561.2334,443.3333,940.0
0.0,1339.8332,1560.0,963.0
0.0,229.5,356.6667,440.0
0.0,786.7,416.0,643.0
0.0,162.0,303.3333,469.0
0.0,320.7666,173.3333,40.0
0.0,786.3666,1603.3333,770.0
0.0,1253.5,416.0,875.0
1.0,2689.0,606.6667,1667.3333
1.0,765.0,1646.6667,1213.0
1.0,422.6334,866.6667,799.0
0.0,1200.3334,866.6667,910.0
0.0,2129.6284,520.0,537.0
0.0,1716.3334,2966.6667,926.0
1.0,1769.6284,780.0,924.0
0.0,0.0,1170.0,578.0
0.0,255.0,988.0,704.0
1.0,1769.6284,780.0,2158.0
0.0,0.0,390.0,664.0
1.0,795.8334,2340.0,1376.0
0.0,3134.6284,650.0,200.0
0.0,1724.1668,606.6667,512.0
0.0,1428.0,1170.0,576.0
1.0,1310.5334,1040.0,940.0
1.0,330.0,693.3333,712.0
0.0,431.0334,260.0,360.0
0.0,0.0,433.3333,552.0
0.0,0.0,866.6667,352.0
0.0,0.0,390.0,574.0
0.0,0.0,303.3333,0.0
1.0,142.9334,759.3333,780.0
0.0,3039.5,693.3333,483.0
1.0,127.5,693.3333,0.0
1.0,1936.5,1300.0,1600.0
0.0,0.0,520.0,820.6667
0.0,519.2,1473.3333,740.0
1.0,499.1666,866.6667,722.0
1.0,906.5666,1127.3333,695.0
0.0,395.3334,606.6667,430.0
1.0,2789.6284,866.6667,335.0
0.0,0.0,866.6667,697.0
1.0,1878.6666,606.6667,1038.0
0.0,3534.6284,866.6667,1050.0
1.0,827.4,1127.3333,593.0
1.0,539.7334,1127.3333,0.0
1.0,255.0,866.6667,180.0
0.0,766.8334,650.0,644.0
0.0,1150.0,749.3333,982.0
0.0,412.5,294.6667,206.0
0.0,0.0,242.6667,154.0
0.0,0.0,260.0,620.0
0.0,311.1666,563.3333,252.0
0.0,0.0,606.6667,390.0
0.0,3758.6668,806.6667,809.0
1.0,1464.8334,806.0,414.0
0.0,903.1666,563.3333,845.0
0.0,459.0,866.6667,219.0
0.0,0.0,866.6667,1160.0
0.0,0.0,156.0,158.0
0.0,692.0,381.3333,482.0
0.0,0.0,563.3333,546.0
0.0,446.3334,866.6667,300.0
0.0,526.8334,1126.6667,923.0
1.0,1885.6666,1820.0,942.0
0.0,765.0,780.0,652.0
0.0,790.3666,910.0,957.0
1.0,717.8334,1083.3333,1008.0
0.0,1498.5,346.6667,840.0
1.0,591.3334,433.3333,130.0
1.0,996.2334,606.6667,394.0
0.0,751.2334,749.3333,1480.0
1.0,714.0,303.3333,700.0
0.0,573.8334,866.6667,592.0
1.0,1179.8334,260.0,740.0
0.0,566.4334,520.0,230.0
0.0,1702.3334,1300.0,2223.0
1.0,6973.0708,866.6667,1051.0
1.0,1755.7666,1126.6667,1434.0
0.0,1931.8332,1200.0,908.0
0.0,382.5,260.0,457.0
1.0,295.2334,866.6667,60.0
1.0,443.4,953.3333,662.0
0.0,0.0,173.3333,536.0
0.0,5554.4998,390.0,1406.0
1.0,1537.3334,1863.3333,1195.0
0.0,1397.1334,563.3333,862.0
0.0,0.0,390.0,296.0
0.0,0.0,780.0,214.0
0.0,781.5,260.0,306.0
1.0,357.0,563.3333,460.0
1.0,1347.5,910.0,800.0
0.0,102.0,1983.3333,763.0
0.0,612.0,260.0,110.0
0.0,0.0,390.0,485.0
1.0,794.8,1300.0,882.3333
0.0,580.4334,1170.0,1280.0
0.0,3539.2568,1646.6667,1220.0
0.0,30.0,390.0,286.0
0.0,1963.7666,866.6667,1248.0
0.0,0.0,488.6667,0.0
0.0,951.3,693.3333,728.0
0.0,309.4666,693.3333,270.0
1.0,785.3666,1420.0,1420.0
0.0,1483.6666,1066.6667,860.0
0.0,1125.6666,303.3333,284.0
0.0,523.0,471.3333,700.0
0.0,325.1666,650.0,645.0
1.0,990.5,693.3333,750.0
0.0,535.3666,650.0,804.0
0.0,382.5,346.6667,230.0
0.0,2002.5,693.3333,862.0
0.0,765.0,1473.3333,808.0
1.0,1756.1668,1213.3333,573.0
0.0,746.6334,329.3333,276.0
0.0,2731.9618,866.6667,989.0
0.0,1823.3334,910.0,900.0
0.0,431.5,1256.6667,401.0
0.0,1502.5,1733.3333,3409.0
0.0,0.0,346.6667,0.0
0.0,0.0,780.0,529.0
1.0,613.2,1126.6667,540.0
0.0,1536.8334,1746.6667,781.0
0.0,378.0666,476.6667,654.0
0.0,774.5,866.6667,1278.0
1.0,800.3334,563.3333,317.0
1.0,1714.8334,3466.6667,830.0
1.0,325.1334,780.0,489.0
1.0,1726.0,1300.0,1287.0
1.0,510.0,1603.3333,242.0
0.0,414.3334,650.0,210.0
0.0,0.0,1420.0,1180.0
0.0,776.1334,1126.6667,434.0
1.0,341.6666,650.0,403.3333
0.0,0.0,260.0,472.0
1.0,576.0666,1126.6667,408.0
0.0,602.0666,390.0,159.0
1.0,1138.5,433.3333,1016.6667
1.0,5136.6668,1700.0,1366.0
0.0,0.0,736.6667,527.0
1.0,382.5,1733.3333,1648.0
1.0,1829.1666,1014.0,907.0
0.0,0.0,390.0,135.0
1.0,0.0,2461.3333,945.0
0.0,1017.3666,502.6667,380.0
0.0,605.8,780.0,149.0
0.0,0.0,520.0,149.0
0.0,364.8,1170.0,424.0
0.0,816.6334,749.3333,835.0
0.0,873.6,749.3333,512.0
0.0,1342.9666,693.3333,1085.0
0.0,401.6666,433.3333,640.0
0.0,0.0,485.3333,715.0
1.0,2623.1666,1330.0,702.0
0.0,354.3334,43.3333,370.0
1.0,390.1666,1776.6667,1145.0
0.0,1513.5,1057.3333,1249.0
0.0,452.0334,476.6667,655.0
0.0,1684.0,780.0,1000.0
1.0,331.5,433.3333,320.0
0.0,1590.8666,303.3333,805.0
1.0,505.2334,1126.6667,530.0
1.0,38.3334,1300.0,706.0
1.0,1800.295,1646.6667,672.0
0.0,0.0,520.0,380.0
1.0,2304.9618,2816.6667,1070.0
0.0,0.0,320.6667,201.0
0.0,0.0,173.3333,330.0
0.0,0.0,390.0,723.0
0.0,323.8666,650.0,408.0
0.0,3700.1668,780.0,1162.0
1.0,905.3334,736.6667,1150.0
0.0,277.1666,476.6667,255.0
0.0,444.0,459.3333,200.0
0.0,573.8334,520.0,311.0
1.0,79.7,346.6667,908.0
0.0,0.0,563.3333,524.0
0.0,318.0666,866.6667,504.0
0.0,3038.6284,433.3333,1145.0
0.0,853.6,346.6667,0.0
0.0,0.0,433.3333,0.0
0.0,956.3334,476.6667,126.0
0.0,0.0,953.3333,709.0
0.0,0.0,406.0,210.0
0.0,950.6,520.0,876.0
1.0,7491.3334,1560.0,932.0
0.0,0.0,780.0,128.0
0.0,0.0,693.3333,570.0
0.0,675.8334,1603.3333,678.0
0.0,0.0,216.6667,509.0
0.0,0.0,130.0,398.0
0.0,1387.3334,1343.3333,1110.0
1.0,3052.6284,1386.6667,896.0
0.0,343.2666,260.0,280.0
0.0,854.2666,749.3333,765.0
0.0,0.0,433.3333,732.0
0.0,4883.1332,1516.6667,1108.0
1.0,1895.3666,2340.0,1252.0
1.0,750.0,953.3333,480.0
0.0,444.4334,693.3333,720.0
0.0,765.0,1040.0,765.0
1.0,302.1,1560.0,911.0
0.0,153.0,806.0,1656.0
1.0,724.6666,520.0,348.0
0.0,0.0,780.0,414.0
0.0,0.0,303.3333,606.0
0.0,1262.8,346.6667,777.0
0.0,897.9666,1040.0,1106.0
1.0,23.1334,303.3333,210.0
1.0,3896.2568,1461.3333,2216.0
0.0,779.1666,866.6667,276.0
0.0,49.6666,1170.0,832.0
0.0,0.0,866.6667,524.3333
1.0,1320.5334,866.6667,954.0
0.0,1769.6284,1016.6667,2125.0
0.0,1593.8334,1170.0,635.0
1.0,1769.6284,1126.6667,698.0
1.0,3170.0,1300.0,1033.0
0.0,0.0,1256.6667,801.0
